,Unnamed: 0,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Sign
988,111037,A-2827637,2,2016-11-30 15:25:58,2016-11-30 21:25:58,48.18813,-122.195055,48.188227,-122.192777,0.105,WA,44.6,42.2,66.0,30.04,10.0,4.6,0.01,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True
992,111616,A-2828216,2,2016-12-02 08:50:28,2016-12-02 14:50:28,47.628143,-122.953247,47.628309,-122.952687,0.028,WA,42.8,35.8,100.0,30.29,10.0,13.8,0.03,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
993,111631,A-2828231,2,2016-12-02 09:44:46,2016-12-02 15:44:46,47.408204,-122.038119,47.408807,-122.038334,0.043,WA,45.0,41.8,93.0,30.29,5.0,5.8,0.01,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True
994,111633,A-2828233,2,2016-12-02 09:44:46,2016-12-02 15:44:46,47.408807,-122.038334,47.408204,-122.038119,0.043,WA,45.0,41.8,93.0,30.29,5.0,5.8,0.01,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
995,112012,A-2828612,3,2016-12-05 10:44:44,2016-12-05 16:44:44,47.694905,-122.34458,47.693478,-122.34457,0.099,WA,36.0,30.3,100.0,30.08,7.0,6.9,0.02,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True
996,112013,A-2828613,3,2016-12-05 10:44:44,2016-12-05 16:44:44,47.693478,-122.34457,47.694905,-122.34458,0.099,WA,36.0,30.3,100.0,30.08,7.0,6.9,0.02,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
997,112022,A-2828622,3,2016-12-05 11:36:57,2016-12-05 17:36:57,47.59924,-122.314159,47.59924,-122.31412,0.002,WA,39.0,34.0,96.0,30.06,10.0,6.9,0.0,True,False,True,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True
998,112024,A-2828624,3,2016-12-05 11:36:57,2016-12-05 17:36:57,47.59924,-122.31412,47.59924,-122.314159,0.002,WA,39.0,34.0,96.0,30.06,10.0,6.9,0.0,True,False,True,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True
1003,112798,A-2829398,2,2016-12-08 17:36:27,2016-12-08 23:36:27,46.894005,-122.681134,46.894323,-122.680944,0.024,WA,30.9,22.2,100.0,29.91,1.5,10.4,0.02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1004,112829,A-2829429,2,2016-12-08 19:27:47,2016-12-09 01:27:47,47.62464,-122.33343,47.62695,-122.32838,0.284,WA,33.1,22.2,70.0,29.95,5.0,17.3,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1005,112830,A-2829430,2,2016-12-08 19:27:47,2016-12-09 01:27:47,47.62453,-122.33437,47.62464,-122.33343,0.044,WA,33.1,22.2,70.0,29.95,5.0,17.3,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1006,112912,A-2829512,2,2016-12-09 08:24:48,2016-12-09 14:24:48,46.931667,-123.723726,46.931564,-123.723715,0.007,WA,37.0,29.8,100.0,29.95,7.0,10.4,0.01,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
1007,112913,A-2829513,2,2016-12-09 08:24:48,2016-12-09 14:24:48,46.931564,-123.723715,46.931667,-123.723726,0.007,WA,37.0,29.8,100.0,29.95,7.0,10.4,0.01,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
1011,113040,A-2829640,2,2016-12-09 17:24:44,2016-12-09 23:24:44,47.85929,-121.97033,47.85929,-121.97033,0.0,WA,32.0,24.2,96.0,29.86,9.0,9.2,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True
1012,113086,A-2829686,4,2016-12-09 19:27:25,2016-12-10 01:27:25,47.70895,-121.98445,47.70902,-121.9842,0.013,WA,32.0,23.0,96.0,29.82,5.0,11.5,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1013,113176,A-2829776,2,2016-12-12 06:43:42,2016-12-12 12:43:42,47.951183,-122.092605,47.951457,-122.094253,0.079,WA,39.0,32.8,89.0,30.08,10.0,9.2,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
1014,113194,A-2829794,2,2016-12-12 08:37:45,2016-12-12 14:37:45,47.99028,-122.868378,47.990309,-122.867025,0.063,WA,39.0,33.0,86.0,30.09,2.0,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
1015,113209,A-2829809,3,2016-12-12 10:35:48,2016-12-12 16:35:48,47.700532,-122.34465,47.699034,-122.34462,0.104,WA,42.1,38.4,85.0,30.17,10.0,5.8,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
1020,114394,A-2830994,2,2016-12-17 11:51:21,2016-12-17 17:51:21,48.20884,-122.66698,48.20884,-122.66698,0.0,WA,33.0,25.0,64.0,30.44,10.0,9.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
1021,114395,A-2830995,2,2016-12-17 11:51:21,2016-12-17 17:51:21,48.20884,-122.66698,48.20884,-122.66698,0.0,WA,33.0,25.0,64.0,30.44,10.0,9.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
1022,114476,A-2831076,2,2016-12-19 05:52:18,2016-12-19 11:52:18,47.469156,-121.917747,47.466005,-121.923462,0.344,WA,37.9,31.5,93.0,30.1,3.0,9.2,0.05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1023,114506,A-2831106,3,2016-12-19 07:54:16,2016-12-19 13:54:16,47.60291,-122.3346,47.60329,-122.33495,0.031,WA,41.0,34.7,93.0,30.09,5.0,10.4,0.02,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
1024,114507,A-2831107,2,2016-12-19 07:50:43,2016-12-19 13:50:43,48.32603,-122.62868,48.32536,-122.62865,0.046,WA,39.9,30.0,79.0,30.07,10.0,21.9,0.01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
1025,114524,A-2831124,4,2016-12-19 08:51:18,2016-12-19 14:51:18,47.372853,-120.165822,47.375303,-120.180349,0.7,WA,16.0,10.4,88.0,30.2,7.0,3.5,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
1026,114525,A-2831125,4,2016-12-19 08:51:18,2016-12-19 14:51:18,47.375303,-120.180349,47.372853,-120.165822,0.7,WA,16.0,10.4,88.0,30.2,7.0,3.5,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False
