,Unnamed: 0,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Sign
988,111037,A-2827637,2,11/30/2016 15:25,11/30/2016 21:25,48.18813,-122.195055,48.188227,-122.192777,0.105,WA,44.6,42.2,66,30.04,10,4.6,0.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
992,111616,A-2828216,2,12/2/2016 8:50,12/2/2016 14:50,47.628143,-122.953247,47.628309,-122.952687,0.028,WA,42.8,35.8,100,30.29,10,13.8,0.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
993,111631,A-2828231,2,12/2/2016 9:44,12/2/2016 15:44,47.408204,-122.038119,47.408807,-122.038334,0.043,WA,45,41.8,93,30.29,5,5.8,0.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
994,111633,A-2828233,2,12/2/2016 9:44,12/2/2016 15:44,47.408807,-122.038334,47.408204,-122.038119,0.043,WA,45,41.8,93,30.29,5,5.8,0.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
995,112012,A-2828612,3,12/5/2016 10:44,12/5/2016 16:44,47.694905,-122.34458,47.693478,-122.34457,0.099,WA,36,30.3,100,30.08,7,6.9,0.02,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
996,112013,A-2828613,3,12/5/2016 10:44,12/5/2016 16:44,47.693478,-122.34457,47.694905,-122.34458,0.099,WA,36,30.3,100,30.08,7,6.9,0.02,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
997,112022,A-2828622,3,12/5/2016 11:36,12/5/2016 17:36,47.59924,-122.314159,47.59924,-122.31412,0.002,WA,39,34,96,30.06,10,6.9,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
998,112024,A-2828624,3,12/5/2016 11:36,12/5/2016 17:36,47.59924,-122.31412,47.59924,-122.314159,0.002,WA,39,34,96,30.06,10,6.9,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
1003,112798,A-2829398,2,12/8/2016 17:36,12/8/2016 23:36,46.894005,-122.681134,46.894323,-122.680944,0.024,WA,30.9,22.2,100,29.91,1.5,10.4,0.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1004,112829,A-2829429,2,12/8/2016 19:27,12/9/2016 1:27,47.62464,-122.33343,47.62695,-122.32838,0.284,WA,33.1,22.2,70,29.95,5,17.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1005,112830,A-2829430,2,12/8/2016 19:27,12/9/2016 1:27,47.62453,-122.33437,47.62464,-122.33343,0.044,WA,33.1,22.2,70,29.95,5,17.3,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1006,112912,A-2829512,2,12/9/2016 8:24,12/9/2016 14:24,46.931667,-123.723726,46.931564,-123.723715,0.007,WA,37,29.8,100,29.95,7,10.4,0.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
1007,112913,A-2829513,2,12/9/2016 8:24,12/9/2016 14:24,46.931564,-123.723715,46.931667,-123.723726,0.007,WA,37,29.8,100,29.95,7,10.4,0.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
1011,113040,A-2829640,2,12/9/2016 17:24,12/9/2016 23:24,47.85929,-121.97033,47.85929,-121.97033,0,WA,32,24.2,96,29.86,9,9.2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
