Number,data_frame_row_number,Accident Id,Image_link   ,class_type
1,2,A-2827637,00001.png,37
2,2,A-2827637,0002.png,14
3,2,A-2827637,0003.png,27
4,2,A-2827637,0004.png,14
5,2,A-2827637,0005.png,14
7,2,A-2827637,0007.png,14
8,2,A-2827637,0008.png,14
9,2,A-2827637,0009.png,27
13,3,A-2827704,0013.png,14
14,3,A-2827704,0014.png,27
15,3,A-2827704,0015.png,13
16,4,A-2827768,0016.png,27
17,4,A-2827768,0017.png,29
18,4,A-2827768,0018.png,1
19,4,A-2827768,0019.png,34
20,5,A-2827812,0020.png,33
21,5,A-2827812,0021.png,24
22,5,A-2827812,0022.png,24
23,6,A-2827885,0023.png,24
24,6,A-2827885,0024.png,37
25,7,A-2828052,0025.png,24
26,7,A-2828052,0026.png,3
27,7,A-2828052,0027.png,33
28,8,A-2828231,0028.png,36
29,8,A-2828231,0029.png,14
30,8,A-2828231,0030.png,37
31,9,A-2828314,0031.png,29
32,26,A-2829033,0032.png,3
33,26,A-2829033,0033.png,0
34,25,A-2829014,0034.png,2
35,23,A-2828857,0035.png,11
36,23,A-2828857,0036.png,36
37,23,A-2828857,0037.png,34 maybe
38,19,A-2829809,0038.png,Spped limit 30
39,19,A-2829809,0039.png,No pedestrian crossing
40,19,A-2829809,0040.png,right turn
41,19,A-2829809,0041.png,No parking
42,19,A-2829809,0042.png,speed limit 30
43,18,A-2829794,0043.png,speed limit 40
44,17,A-2829776,00.44.png,right lane end
45,17,A-2829776,0045.png,exit + speed limit 25
46,17,A-2829776,0046.png,exit
47,17,A-2829776,0047.png,Stop 
48,17,A-2829776,0048.png,speed limit 25
49,17,A-2829776,0049.png,Stop 
50,16,A-2829686,0050.png,roundabout
51,10,A-2829686,0051.png,pedestrian
52,10,A-2829398,0052.png,Stop 
